city,country,lat,lng
Paisley,CA,53.4139488,-113.559332
Pontypool,CA,44.1017447,-78.6308231
Southwold,CA,42.7415823,-81.3319189
Spencerville,CA,44.8433048,-75.5463673
Springton,CA,46.3201469,-63.4250112
Stewiacke,CA,45.1371295,-63.3483698
Stirling,CA,49.503059,-112.525082
Tatamagouche,CA,45.7109353,-63.2879017
Trent Lakes,CA,44.6630272,-78.4253243
Trenton,CA,44.1019126,-77.57539
Warkworth,CA,44.2019073,-77.8868553
Wiarton,CA,44.7438271,-81.1408154
Wikwemikong,CA,45.8079681,-81.7122055
Bogotá,CO,4.6533815,-74.0836331
San José,CR,9.9325427,-84.0795782
Corwen,GB,52.9804731,-3.3731677
St Peter Port,GG,49.4568142,-2.5389979
Fort Liberté,HT,19.6635608,-71.8367046
Yangon,MM,16.7967129,96.1609916
Ulan Bator,MN,47.9184676,106.9177016
Culiacán,MX,24.7978965,-107.393395
Suleja,NG,9.175833,7.180833
Yaren District,NR,-0.5471064,166.9163479
Ramallah,PS,31.8978012,35.1924223
Asunción,PY,-25.2800459,-57.6343814
Pečeňany,SK,48.6748284,18.227577
Nuku'alofa,TO,-21.1343401,-175.201808
Amelia Court House,US,37.3420146,-77.9809885
Atlantic Mine,US,47.0971497,-88.6276246
Barre,US,44.1969042,-72.5007458
Barton City,US,44.6841793,-83.6055341
Bellefonte,US,40.9134862,-77.7737471
Brainard,US,40.8120723,-124.1103384
Bryceville,US,30.3846821,-81.9387195
Bryson City,US,35.4309291,-83.447381
Carlton,US,46.6638322,-92.4249135
Catawissa,US,40.9548267,-76.4609868
Charlevoix,US,45.317649,-85.258348
Chipley,US,30.7818584,-85.538541
Clymer,US,42.020888,-79.63005
Cobleskill,US,42.677853,-74.4854172
Cowansville,US,40.8880736,-79.5887616
Cuddebackville,US,41.4673154,-74.5937719
Curwensville,US,40.9756137,-78.5250243
Dawson,US,31.7735001,-84.4465827
Diamond Point,US,43.4792357,-73.6870621
Dushore,US,41.524242,-76.4007744
East Baldwin,US,43.8326505,-70.6715036
East Barre,US,44.1581178,-72.4503802
Enosburg Falls,US,44.9066695,-72.804578
Eyota,US,43.9887507,-92.2292396
Fall River Mills,US,41.0046076,-121.4383139
Fort Ann,US,43.4143073,-73.4879808
Hermann,US,38.7042119,-91.4373845
Hollidaysburg,US,40.430774,-78.3900826
Homer,US,59.6454064,-151.5445643
Hop Bottom,US,41.7059106,-75.7663017
Hume,US,39.7967015,-87.8686414
Jacumba Hot Springs,US,32.6175626,-116.189739
Jeffersonton,US,38.637065,-77.9149952
Laceyville,US,41.6459089,-76.1613189
Leeper,US,41.3703408,-79.3042099
Lignum,US,38.415961,-77.8266604
Lindley,US,42.0284072,-77.1396946
Little Meadows,US,41.9906303,-76.1307604
Lorena,US,31.3865592,-97.2155596
Lula,US,34.3876013,-83.6662854
Luray,US,38.6654653,-78.4600202
Manchester Center,US,43.176909,-73.0568716
Marble,US,47.320494,-93.298536
Milan,US,41.453089,-90.5720803
Milanville,US,41.6714775,-75.0651686
Morgan,US,44.4169049,-94.9255465
Mountain City,US,30.0381161,-97.8909148
Muncy,US,41.20484,-76.7870991
New Bethlehem,US,41.001732,-79.3314297
New Boston,US,33.4598415,-94.4154787
New York City,US,40.7127281,-74.0060152
Nome,US,64.4975098,-165.4061701
Northern Cambria,US,40.6575819,-78.7790754
Northville,US,42.4310816,-83.4832339
Paso Robles,US,35.6262618,-120.6901319
Piermont,US,43.9707333,-72.0811463
Pine Mountain Club,US,34.8447503,-119.1577797
Preston Hollow,US,42.4445237,-74.207917
Punxsutawney,US,40.9436303,-78.971078
Rapid River,US,45.9269087,-86.9670846
Rensselaerville,US,42.5161888,-74.1379131
Rimersburg,US,41.0416635,-79.5030243
Rochester Mills,US,40.8186752,-78.9855885
Round Top,US,30.0651011,-96.6955449
Rutherfordton,US,35.3692877,-81.9567716
Sayre,US,35.2979543,-99.6399648
Schuylkill Haven,US,40.6306464,-76.171054
Shickshinny,US,41.1531388,-76.1502078
Shingle Springs,US,38.6657375,-120.9260509
Smethport,US,41.8091097,-78.446264
Spotsylvania,US,38.2010057,-77.5891622
Stewartstown,US,44.9951037,-71.5327724
Stone Mountain,US,33.8080924,-84.1706273
Stony Creek,US,36.9479277,-77.4008113
The Plains,US,38.8624506,-77.774073
Towanda,US,40.5639242,-88.8989607
Trout Run,US,41.3861872,-77.0569132
Tunkhannock,US,41.5385159,-75.946844
Tyrone,US,40.6705508,-78.2383479
Wales,US,48.8958373,-98.6026208
Warren Center,US,41.9378526,-76.1807628
West Decatur,US,34.6042588,-86.9955646
West Torrington,US,41.8184296,-73.1437223
Westerlo,US,42.5150785,-74.0454099
York Springs,US,40.0089827,-77.1155359
Port Vila,VU,-17.7414972,168.3150163
Bandele,YT,-12.89804,45.23158
Longyearbyen,SJ,78.2232,15.6469
Réunion,RE,-20.8823,55.4504
Lima region,PE,-12.0931,-77.0465
Saipan,MP,15.185995,145.747915
Hagåtña,GU,13.4757,144.749
Hagatna,GU,13.4757,144.749
Palikir - National Government Center,FM,6.92414,158.15968
West Island,CC,-12.1883,96.830201
Utterson,CA,45.21071,-79.32735
São Gabriel da Cachoeira Municipality,BR,-0.1188,-67.0792
Marechal Thaumaturgo Municipality,BR,-8.9472,-72.7903
Jutaí Municipality,BR,-2.4449,-66.4601
Benjamin Constant Municipality,BR,-4.3759,-70.0301
Atalaia do Norte Municipality,BR,-4.371944,-70.191944
Mariehamn,AX,60.1123,19.927222
Sackville Reach,AU,-33.48629,150.89389
Peelhurst,AU,-37.87528,142.29071
Old Morago,AU,-35.377,144.679
McMurdo Station,AQ,-77.84632,166.66823
Tokyo,JP,35.687,139.7495
Jakarta,ID,-6.175,106.8275
Delhi,IN,28.61,77.23
Guangzhou,CN,23.13,113.26
Mumbai,IN,19.0761,72.8775
Manila,PH,14.5958,120.9772
Shanghai,CN,31.2286,121.4747
Sao Paulo,BR,-23.5504,-46.6339
Seoul,KR,37.5667,126.9833
Mexico City,MX,19.4333,-99.1333
Kolkata,IN,22.5675,88.37
Cairo,EG,30.0444,31.2358
Karachi,PK,24.86,67.01
Dhaka,BD,23.7289,90.3944
New York,US,40.6943,-73.9249
Beijing,CN,39.9067,116.3975
Bangkok,TH,13.7525,100.4942
Shenzhen,CN,22.5415,114.0596
Moscow,RU,55.7506,37.6175
Buenos Aires,AR,-34.6036,-58.3814
Lagos,NG,6.455,3.3841
Bangalore,IN,12.9789,77.5917
Ho Chi Minh City,VN,10.7756,106.7019
Osaka,JP,34.6939,135.5022
Chengdu,CN,30.66,104.0633
Istanbul,TR,41.0136,28.955
Tehran,IR,35.6889,51.3897
Kinshasa,CD,-4.3219,15.3119
Rio de Janeiro,BR,-22.9111,-43.2056
Chennai,IN,13.0825,80.275
Xi'an,CN,34.2611,108.9422
Lahore,PK,31.5497,74.3436
Chongqing,CN,29.5637,106.5504
Los Angeles,US,34.1141,-118.4068
London,GB,51.5072,-0.1275
Paris,FR,48.8567,2.3522
Linyi,CN,35.1038,118.3564
Dongguan,CN,23.021,113.752
Baoding,CN,38.874,115.464
Hyderabad,IN,17.3617,78.4747
Tianjin,CN,39.1336,117.2054
Lima,PE,-12.06,-77.0375
Wuhan,CN,30.5934,114.3046
Nanyang,CN,32.9902,112.5285
Hangzhou,CN,30.267,120.153
Nagoya,JP,35.1833,136.9
Luanda,AO,-8.8383,13.2344
Foshan,CN,23.0214,113.1216
Kuala Lumpur,MY,3.1686,101.698
Zhoukou,CN,33.6367,114.7014
Tongshan,CN,34.261,117.1859
Hanoi,VN,21.0,105.85
Chicago,US,41.8375,-87.6866
Nanjing,CN,32.0608,118.7789
Heze,CN,35.2343,115.4796
Pune,IN,18.5203,73.8567
Jining,CN,35.4151,116.5871
Bogota,CO,4.7111,-74.0722
Ahmedabad,IN,23.0225,72.5714
Shenyang,CN,41.8025,123.4281
Dar es Salaam,TZ,-6.8161,39.2803
Khartoum,SD,15.6031,32.5265
Johannesburg,ZA,-26.2044,28.0456
Fuyang,CN,32.89,115.814
Hong Kong,HK,22.3,114.2
Ganzhou,CN,25.831,114.933
Shangqiu,CN,34.415,115.656
Cangzhou,CN,38.3047,116.8387
Riyadh,SA,24.65,46.71
Santiago,CL,-33.4372,-70.6506
Zhumadian,CN,33.014,114.022
Zhanjiang,CN,21.2701,110.3575
Rangoon,MM,16.795,96.16
Yancheng,CN,33.35,120.1569
Bijie,CN,27.284,105.292
Xingtai,CN,37.0717,114.5048
Hengyang,CN,26.894,112.572
Shaoyang,CN,27.2395,111.4679
Surabaya,ID,-7.2458,112.7378
Surat,IN,21.205,72.84
Quanzhou,CN,24.8744,118.6757
Shangrao,CN,28.4551,117.9431
Zunyi,CN,27.722,107.031
Madrid,ES,40.4169,-3.7033
Baghdad,IQ,33.3153,44.3661
Maoming,CN,21.6627,110.9255
Miami,US,25.784,-80.2101
Xinyang,CN,32.149,114.091
Houston,US,29.786,-95.3885
Singapore,SG,1.3,103.8
Prayagraj,IN,25.4358,81.8464
Huanggang,CN,30.4537,114.8724
Dalian,CN,38.9,121.6
Ankara,TR,39.93,32.85
Dallas,US,32.7935,-96.7667
Qingdao,CN,36.0669,120.3827
Yulin,CN,22.654,110.181
Liaocheng,CN,36.4559,115.9852
Douala,CM,4.05,9.7
Qujing,CN,25.491,103.796
Nangandao,CN,35.3036,113.9268
Addis Ababa,ET,9.03,38.74
Philadelphia,US,40.0077,-75.1339
Toronto,CA,43.7417,-79.3733
Zhengzhou,CN,34.764,113.684
Nanchong,CN,30.8372,106.1106
Jinan,CN,36.6702,117.0207
Giza,EG,29.987,31.2118
Saint Petersburg,RU,59.9375,30.3086
Jieyang,CN,23.551,116.3727
Dezhou,CN,37.436,116.359
Nairobi,KE,-1.2864,36.8172
Guadalajara,MX,20.6767,-103.3475
Tai'an,CN,36.202,117.087
Dazhou,CN,31.2093,107.4678
Belo Horizonte,BR,-19.9281,-43.9419
Suzhou,CN,33.648,116.964
Monterrey,MX,25.6844,-100.3181
Yongzhou,CN,26.42,111.613
Changde,CN,29.031,111.699
Xiangyang,CN,32.01,112.122
Atlanta,US,33.7628,-84.422
Pudong,CN,31.2347,121.5064
Washington,US,38.9047,-77.0163
Zhaotong,CN,27.338,103.717
Zhangzhou,CN,24.513,117.647
Yueyang,CN,29.3647,113.1309
Melbourne,AU,-37.8142,144.9631
Yichun,CN,27.816,114.417
Abidjan,CI,5.3364,-4.0267
Guilin,CN,25.275,110.296
Pingdingshan,CN,33.7666,113.1926
Alexandria,EG,31.1975,29.8925
Bozhou,CN,33.8463,115.7786
Sydney,AU,-33.8667,151.2
Barcelona,ES,41.3833,2.1833
Yuncheng,CN,35.0267,111.007
Cape Town,ZA,-33.9253,18.4239
Changsha,CN,28.228,112.939
Suqian,CN,33.963,118.275
Jeddah,SA,21.5428,39.1728
Weinan,CN,34.5206,109.471
Berlin,DE,52.52,13.405
Chenzhou,CN,25.77,113.016
Jiangmen,CN,22.5789,113.0815
Mianyang,CN,31.468,104.679
Jiujiang,CN,29.661,115.954
Huaihua,CN,27.5698,110.0016
Huanglongsi,CN,34.795,114.345
Taizhou,CN,32.4567,119.9229
Belahi,IN,26.4,86.25
Yibin,CN,28.752,104.643
Ji'an,CN,27.0912,114.9668
Yangzhou,CN,32.3944,119.4128
Kunming,CN,25.0464,102.7094
Changchun,CN,43.897,125.326
Lu'an,CN,31.736,116.52
Xinpu,CN,34.5966,119.2214
Langfang,CN,39.5383,116.6835
Boston,US,42.3188,-71.0852
Urumqi,CN,43.8225,87.6125
Suzhou,CN,31.3,120.6194
Guigang,CN,23.112,109.599
Shantou,CN,23.354,116.682
Jiangguanchi,CN,34.037,113.852
Kabul,AF,34.5253,69.1783
Xiaoganzhan,CN,30.918,113.957
Bamako,ML,12.6458,-7.9922
Kano,NG,12.0,8.5167
Luzhou,CN,28.871,105.442
Hefei,CN,31.8206,117.2273
Hengshui,CN,37.739,115.669
Fortaleza,BR,-3.7275,-38.5275
Anqing,CN,30.5318,117.1153
Zhangjiakou,CN,40.769,114.886
Zhaoqing,CN,23.05,112.4667
Shijiazhuang,CN,38.0425,114.51
Ningbo,CN,29.8603,121.6245
Qiqihar,CN,47.3549,123.9182
Phoenix,US,33.5722,-112.0892
Liuzhou,CN,24.3278,109.4278
Chifeng,CN,42.255,118.8825
Xiaoxita,CN,30.692,111.287
Amman,JO,31.9497,35.9328
Linfen,CN,36.088,111.519
Xianyang,CN,34.3299,108.7088
Chuzhou,CN,32.256,118.333
Kumasi,GH,6.7,-1.625
Zhuzhou,CN,27.829,113.133
Taiyuan,CN,37.8704,112.5497
Qingyuan,CN,23.682,113.056
Meizhou,CN,24.289,116.122
Yiyang,CN,28.5549,112.356
Nanning,CN,22.8167,108.3275
Harbin,CN,45.7576,126.6409
Loudi,CN,27.6998,111.9944
Abuja,NG,9.0667,7.4833
Yokohama,JP,35.4442,139.6381
Suihua,CN,46.654,126.969
Binzhou,CN,37.383,117.971
Zaozhuang,CN,34.8109,117.3238
Detroit,US,42.3834,-83.1024
Xiamen,CN,24.4796,118.0889
Mashhad,IR,36.3264,59.5433
Montreal,CA,45.5089,-73.5617
Fuzhou,CN,26.0743,119.2964
Wuhu,CN,31.3526,118.4331
Medan,ID,3.5894,98.6739
Yulinshi,CN,38.2858,109.7341
Fuzhou,CN,27.949,116.358
Wenzhou,CN,27.9938,120.6993
Changzhou,CN,31.811,119.974
Puyang,CN,35.7627,115.0292
Nanchang,CN,28.683,115.858
Baicheng,CN,23.903,106.619
Seattle,US,47.6211,-122.3244
Ibadan,NG,7.3964,3.9167
Jiaozuo,CN,35.2157,113.2419
Nadampalaiyam,IN,11.0125,76.9714
Deyang,CN,31.127,104.398
Busan,KR,35.18,129.075
Hechi,CN,24.693,108.085
Tangshan,CN,39.6294,118.1739
Lucknow,IN,26.85,80.95
San Francisco,US,37.7558,-122.4449
Boankra,GH,6.6919,-1.4051
Dubai,AE,25.2631,55.2972
Anshan,CN,41.108,122.994
Guozhen,CN,34.3609,107.1751
Baojishi,CN,34.363,107.238
Qinzhou,CN,21.981,108.654
Guiyang,CN,26.647,106.63
Wuxi,CN,31.5667,120.2833
Kannankulam,IN,10.52,76.21
Caracas,VE,10.4806,-66.9036
Kotla Qasim Khan,PK,32.5833,73.75
Casablanca,MA,33.5333,-7.5833
Hanzhong,CN,33.0664,107.0232
Shiyan,CN,32.629,110.7987
Guang'an,CN,30.4564,106.6326
Faisalabad,PK,31.4167,73.0911
Changzhi,CN,36.195,113.117
Tongren,CN,27.7316,109.1895
Bengbu,CN,32.917,117.389
Leshan,CN,29.552,103.766
Santa Cruz de la Sierra,BO,-17.7892,-63.1975
Neijiang,CN,29.5802,105.058
Zhenjiang,CN,32.188,119.424
Qinhuangdao,CN,39.8882,119.5202
Bursa,TR,40.1833,29.05
Tashkent,UZ,41.3111,69.2797
Guayaquil,EC,-2.19,-79.8875
Jaipur,IN,26.9,75.8
Lanzhou,CN,36.0606,103.8268
Ouagadougou,BF,12.3686,-1.5275
Athens,GR,37.9842,23.7281
San Diego,US,32.8313,-117.1222
Guatemala City,GT,14.6417,-90.5133
Kuwait City,KW,29.3697,47.9783
Qincheng,CN,34.5815,105.7248
Izmir,TR,38.42,27.14
Quezon City,PH,14.65,121.0475
Kyiv,UA,50.45,30.5233
Kottarassheri,IN,10.775,76.651
Meishan,CN,30.0771,103.8484
Incheon,KR,37.4833,126.6333
Ningde,CN,26.6662,119.5477
Zhongshan,CN,22.517,113.3925
Minneapolis,US,44.9635,-93.2678
Tampa,US,27.9945,-82.4447
Putian,CN,25.4526,119.0078
Mbuji-Mayi,CD,-6.15,23.6
Tongliao,CN,43.654,122.243
Chaoyang,CN,41.571,120.453
Hohhot,CN,40.842,111.749
Pyongyang,KP,39.0167,125.7475
Shaoguan,CN,24.811,113.597
Taichung,TW,24.1439,120.6794
Cali,CO,3.4206,-76.5222
Heyuan,CN,23.7443,114.7002
Wuzhou,CN,23.4767,111.279
Pretoria,ZA,-25.7461,28.1881
Suining,CN,30.533,105.593
Omdurman,SD,15.6835,32.4629
Weihai,CN,37.5133,122.1205
Rizhao,CN,35.417,119.527
Malang,ID,-7.98,112.62
Stuttgart,DE,48.7775,9.18
Daqing,CN,46.589,125.104
Rome,IT,41.8931,12.4828
Kaohsiung,TW,22.615,120.2975
Brooklyn,US,40.6501,-73.9496
Xiangtan,CN,27.8313,112.9454
Bazhou,CN,31.868,106.748
Handan,CN,36.601,114.487
Brisbane,AU,-27.4678,153.0281
Jinzhou,CN,41.129,121.148
Denver,US,39.762,-104.8758
Xinzhou,CN,38.416,112.734
Nanping,CN,26.6418,118.1774
Gazipura,BD,23.9234,90.3959
Shanwei,CN,22.7872,115.3756
Maracaibo,VE,10.6333,-71.6333
Chaozhou,CN,23.658,116.622
Baotou,CN,40.6213,109.9532
Longyan,CN,25.076,117.017
Weifang,CN,36.708,119.162
Huai'an,CN,33.551,119.113
Zibo,CN,36.8138,118.055
Attadappa,IN,11.8689,75.3555
Munich,DE,48.1375,11.575
Gulou,CN,26.0865,119.298
Birmingham,GB,52.48,-1.9025
Valencia,VE,10.1833,-68.0
Damascus,SY,33.502,36.2981
Chattogram,BD,22.335,91.8325
Brazzaville,CG,-4.2667,15.2667
Yangjiang,CN,21.857,111.983
Sanaa,YE,15.3483,44.2064
Barmhan Kalan,IN,19.1972,72.9722
Medellin,CO,6.2308,-75.5906
Dingxi,CN,35.608,104.592
Shaoxing,CN,30.0511,120.5833
Yantai,CN,37.4646,121.4478
Huizhou,CN,23.112,114.416
Xuanzhou,CN,30.939,118.759
Mirzapur,IN,25.146,82.569
Hamburg,DE,53.55,10.0
Taipei,TW,25.0375,121.5625
Ankang,CN,32.6854,109.029
Zigong,CN,29.339,104.779
Sanming,CN,26.2634,117.6389
Toluca,MX,19.2925,-99.6569
Huangshi,CN,30.2011,115.039
Yaounde,CM,3.8667,11.5167
Zhuhai,CN,22.2742,113.5719
Huludao,CN,40.711,120.837
Baoshan,CN,25.112,99.161
Mecca,SA,21.4225,39.8261
Vancouver,CA,49.25,-123.1
Lianshan,CN,40.7523,120.828
Beirut,LB,33.8981,35.5058
Salvador,BR,-12.9831,-38.4928
Bucharest,RO,44.4325,26.1039
Longba,CN,33.3702,104.9603
Nagpur,IN,21.1497,79.0806
Queens,US,40.7498,-73.7976
Tieling,CN,42.2237,123.726
Yunfu,CN,22.9152,112.0445
Bekasi,ID,-6.2333,107.0
Daegu,KR,35.8717,128.6017
Ghaziabad,IN,28.67,77.42
Luoyang,CN,34.6197,112.4539
Luohe,CN,33.5804,114.0166
Algiers,DZ,36.7325,3.0872
Anshun,CN,26.2531,105.9476
Huainan,CN,32.6314,117.0194
Depok,ID,-6.394,106.8225
Konya,TR,37.8667,32.4833
Haiphong,VN,20.8651,106.6838
Yanjiang,CN,30.129,104.627
Guangyuan,CN,32.436,105.844
Baku,AZ,40.3667,49.8352
Yingkou,CN,40.625,122.219
Mudanjiang,CN,44.5514,129.6329
Riverside,US,33.9381,-117.3949
Fukuoka,JP,33.59,130.4017
Nantong,CN,31.981,120.894
Lincang,CN,23.884,100.089
Las Vegas,US,36.2333,-115.2654
Haikou,CN,20.0186,110.3488
Yuxi,CN,24.347,102.527
Tangerang,ID,-6.1703,106.6403
Supaul,IN,26.126,86.605
Almaty,KZ,43.24,76.915
Vienna,AT,48.2083,16.3725
Esfahan,IR,32.6653,51.6703
Xining,CN,36.6224,101.7804
Jincheng,CN,35.491,112.852
Baltimore,US,39.3051,-76.6144
Dandong,CN,40.1167,124.3833
Yan'an,CN,36.65,109.494
Qinbaling,CN,35.7091,107.6436
Gaoping,CN,30.7824,106.1281
Awka,NG,6.2069,7.0678
Taizhou,CN,28.6557,121.4208
Ma'anshan,CN,31.669,118.507
Jiamusi,CN,46.8,130.319
Perth,AU,-31.9558,115.8597
Gaziantep,TR,37.0628,37.3792
Phnom Penh,KH,11.5696,104.921
St. Louis,US,38.6359,-90.2451
Mogadishu,SO,2.0392,45.3419
Lishui,CN,28.468,119.923
Kowloon,HK,22.3167,114.1833
Cordoba,AR,-31.4167,-64.1833
Zamboanga City,PH,6.9042,122.0761
Rawalpindi,PK,33.6,73.0333
Havana,CU,23.1367,-82.3589
Chongzuo,CN,22.377,107.365
Portland,US,45.5371,-122.65
Laibin,CN,23.7501,109.2212
San Antonio,US,29.4632,-98.5238
Vadodara,IN,22.3,73.2
Qingyang,CN,24.7816,118.5517
Rajkot,IN,22.3,70.7833
Shangzhou,CN,33.8734,109.9186
Vishakhapatnam,IN,17.7042,83.2978
Shengli,CN,37.434,118.6746
Sanmenxia,CN,34.7732,111.2004
Warsaw,PL,52.23,21.0111
Gujranwala,PK,32.1567,74.19
Hezhou,CN,24.4042,111.5672
Aleppo,SY,36.2319,37.1681
Tijuana,MX,32.525,-117.0333
Puning,CN,23.298,116.166
Indore,IN,22.7167,75.8472
Minsk,BY,53.9006,27.5586
Karaj,IR,35.8292,50.9675
Kananga,CD,-5.897,22.4488
Huaibei,CN,33.956,116.798
Peshawar,PK,34.0144,71.5675
Sacramento,US,38.5677,-121.4685
Sapporo,JP,43.0619,141.3544
Tilburg,NL,51.5572,5.0911
Austin,US,30.3005,-97.7522
Orlando,US,28.4773,-81.337
Davao,PH,7.07,125.6
Songjiang,CN,31.0058,121.2333
Yinchuan,CN,38.485,106.225
Abhepur,IN,39.41,116.38
Thane,IN,19.1972,72.9722
Multan,PK,30.1978,71.4697
