client_city,client_country_code,server_city,server_country_code,distance
São Paulo,BR,San Francisco Bay Area,US,10421.92
Fort-de-France,MQ,Turin,IT,7208.36
Los Angeles,US,Chennai,IN,14422.24
New York,US,London,GB,5581.2
Calgary,CA,London,GB,7056.36
Sydney,AU,Brussels,BE,16739.72
Utterson,CA,Newark,US,651.82
Honolulu,US,Sydney,AU,8152.41
Warren Center,US,New York,US,233.98
Winnipeg,CA,Chicago,US,1155.54
Halifax,CA,Vancouver,CA,4440.98
West Torrington,US,New York,US,140.97
Muncy,US,New York,US,247.56
Perth,AU,Perth,AU,0.0
Jerusalem,IL,Tel Aviv,IL,54.0
Fall River Mills,US,Los Angeles,US,810.16
Buenos Aires,AR,Santiago,CL,1139.86
Milan,IT,Stavanger,NO,1520.46
Melbourne,AU,Sydney,AU,713.38
Ashburn,US,Dallas,US,1869.32
Honolulu,US,San Francisco Bay Area,US,3852.93
Sydney,AU,Dallas,US,13819.03
Madrid,ES,Miami,US,7104.05
Glass House Mountains,AU,Sydney (Mascot),AU,789.6
Denver,US,Dublin,IE,7092.72
Gibb,AU,Sydney,AU,3162.0
Paris,FR,Turin,IT,583.25
Manchester Center,US,New York,US,284.99
Miami,US,Montreal,CA,2267.86
Barton City,US,Chicago,US,457.95
Nairobi,KE,San Francisco Bay Area,US,15446.96
Northern Cambria,US,New York,US,410.37
Oslo,NO,Hamburg,DE,710.01
Calgary,CA,Toronto,CA,2713.47
Millbrook,CA,Newark,US,518.13
Millington,US,Dallas,US,693.62
Sydney,AU,Stavanger,NO,16238.04
Los Angeles,US,San Francisco Bay Area,US,543.12
Lagos,NG,Helsinki,FI,6230.06
Panama City,PA,Bogota,CO,765.72
Orsay,FR,Paris,FR,21.28
Auckland,NZ,Miami,US,12960.67
Tbilisi,GE,Athens,GR,1844.72
Chicago,US,Stockholm,SE,6905.6
Miami,US,Helsinki,FI,8344.85
Shingle Springs,US,Phoenix,US,975.11
Lancefield,AU,Melbourne,AU,63.04
Honiara,SB,Sydney,AU,2850.01
Talwood,AU,Sydney (Mascot),AU,620.4
Mogadishu,SO,Nairobi,KE,1017.58
Apen,DE,Berlin,DE,384.67
Newman,AU,Sydney,AU,3274.61
Paris,FR,Stavanger,NO,1146.95
New York,US,Los Angeles,US,3962.36
Jeffersonton,US,Dulles,US,54.59
Lisbon,PT,Lisbon,PT,0.0
Seattle,US,Seattle,US,0.0
Nairobi,KE,Montreal,CA,11689.11
Ontario,CA,Toronto,CA,15.47
Nairobi,KE,Frankfurt,DE,6295.48
Accra,GH,Amsterdam,NL,5212.68
Seattle,US,Calgary,CA,710.43
Stockholm,SE,Stockholm,SE,0.0
Warsaw,PL,Dublin,IE,1832.77
Kasama,ZM,Dublin,IE,7884.34
Antananarivo,MG,Frankfurt,DE,8545.02
Kigali,RW,Johannesburg,ZA,2692.11
Honolulu,US,Honolulu,US,0.0
North Canton,US,Washington,US,433.76
Sanaa,YE,Frankfurt,DE,5006.69
Berlin,DE,Podgorica,ME,1203.39
Auckland,NZ,London,GB,18326.8
Los Angeles,US,Sydney,AU,12053.85
Yallourn,AU,Melbourne,AU,128.2
Yallourn,AU,Sydney,AU,649.52
Grenville,AU,Sydney (Mascot),AU,787.75
Newmarket,CA,Toronto,CA,35.07
Yenagoa,NG,Washington,US,9088.8
Manama,BH,Tel Aviv,IL,1667.15
Fortaleza,BR,Buenos Aires,AR,3987.12
Manama,BH,Mumbai,IN,2419.75
Fort-de-France,MQ,Miami,US,2348.22
Atlanta,US,Montreal,CA,1599.88
Chicago,US,Los Angeles,US,2814.57
Ashburn,US,Amsterdam,NL,6223.66
Sydney,AU,Singapore,SG,6297.69
New Glasgow,CA,New York,US,1065.35
Ashburn,US,Zurich,CH,6689.71
Denver,US,Washington,US,2394.2
Evansville,US,Chicago,US,427.61
Manila,PH,Portland,US,10796.57
Helena,US,Omaha,US,1409.11
Santo Domingo,DO,Dallas,US,3115.97
Quito,EC,Dallas,US,4125.94
Atlanta,US,New York,US,1206.56
Hagåtña,GU,Tokyo,JP,2510.99
Tempe,US,Las Vegas,US,438.86
Apen,DE,Frankfurt,DE,351.33
Milan,IT,Tunis,TN,965.38
Perth,AU,Zurich,CH,13788.21
Saint-Denis,RE,Nairobi,KE,2965.61
Shoreham,AU,Sydney,AU,749.05
Blackstock,CA,Toronto,CA,60.21
Antananarivo,MG,Berlin,DE,8573.05
Winnipeg,CA,Paris,FR,6647.96
Abakaliki,NG,London,GB,5066.62
Ourem,BR,Sao Paulo,BR,2434.91
Toronto,CA,Milan,IT,6648.89
Phoenix,US,Denver,US,941.49
Los Angeles,US,Columbus,US,3195.58
Atlanta,US,San Francisco Bay Area,US,3442.07
New York,US,Las Vegas,US,3608.33
Sofia,BG,Madrid,ES,2258.94
Cleveland,US,Miami,US,1745.84
Salt Lake City,US,Madrid,ES,8463.99
Billings,US,Calgary,CA,712.86
Berlin,DE,Amsterdam,NL,578.61
High Range,AU,Sydney,AU,100.59
Vancouver,CA,Dublin,IE,7184.86
Biggenden,AU,Sydney (Mascot),AU,930.05
Dublin,IE,San Francisco Bay Area,US,8200.27
Lanark,CA,Newark,US,1132.77
Miami,US,Seattle,US,4397.4
Redmond,US,Seattle,US,16.75
Rome,IT,Dublin,IE,1888.73
Lehigh Acres,US,Miami,US,169.72
New York,US,Chicago,US,1158.88
Lima,PE,Miami,US,4200.73
Sydney,AU,Portland,US,12328.64
Wandiligong,AU,Sydney,AU,504.18
Quito,EC,Lima,PE,1319.5
Kellevie,AU,Sydney,AU,1032.34
Dallas,US,Singapore,SG,15662.12
Chicago,US,Marseille,FR,7205.07
Dallas,US,Los Angeles,US,2013.48
Milan,US,Washington,US,1187.34
Tirana,AL,Podgorica,ME,132.07
Warrenton,US,Dulles,US,41.01
Rimersburg,US,New York,US,471.75
Harare,ZW,Miami,US,12943.86
Fredericton,CA,Omaha,US,2416.2
Lagos,NG,Nairobi,KE,3812.39
San Jose,CR,Miami,US,1801.43
Halifax,CA,Calgary,CA,3767.26
Philipsburg,SX,Miami,US,1968.16
Dushore,US,New York,US,227.46
Auckland,NZ,Wellington,NZ,492.88
Sydney Olympic Park,AU,Sydney,AU,12.09
Brussels,BE,Amsterdam,NL,173.88
Seattle,US,Montreal,CA,3683.97
Madrid,ES,Dublin,IE,1450.62
Rosebrook,AU,Sydney (Mascot),AU,139.84
São Paulo,BR,Stavanger,NO,10326.89
Denver,US,Spokane,US,1336.97
Lilongwe,MW,Maputo,MZ,1328.8
Toronto,CA,London,GB,5722.12
Honiara,SB,Melbourne,AU,3484.76
Marree,AU,Sydney,AU,1328.32
Budapest,HU,Belgrade,RS,317.38
Saipan,MP,Osaka,JP,2392.36
Warsaw,PL,Helsinki,FI,916.73
Port of Spain,TT,Bogota,CO,1533.18
Maputo,MZ,Calgary,CA,16043.2
Baltimore,CA,Toronto,CA,103.2
Nairobi,KE,Maputo,MZ,2762.89
Atlanta,US,St. Charles,US,781.66
London,GB,Washington,US,5911.8
Mount Albert,CA,Newark,US,567.51
Punxsutawney,US,Montreal,CA,670.77
Madrid,ES,Barcelona,ES,507.38
Gaborone,BW,Cape Town,ZA,1257.72
Winnipeg,CA,Charleston,US,2366.81
Minneapolis,US,Stavanger,NO,6327.85
New Glasgow,CA,Winnipeg,CA,2607.14
Lisbon,PT,Marseille,FR,1319.88
Dallas,US,Frankfurt,DE,8271.89
Berlin,DE,Stockholm,SE,811.29
Dili,TL,Jakarta,ID,2086.76
Oslo,NO,Berlin,DE,839.49
Praia,CV,Lisbon,PT,2989.98
New York,US,Moncton,CA,955.31
Isabella,AU,Sydney,AU,141.99
Zagreb,HR,Zurich,CH,595.4
Greer,US,Charleston,US,314.49
Sofia,BG,London,GB,2018.88
Lula,US,St. Charles,US,783.76
Goulburn,AU,Melbourne,AU,545.62
Abakaliki,NG,New York,US,8884.84
Los Angeles,US,Jakarta,ID,14441.63
Freetown,SL,Lagos,NG,1847.68
Hobart,AU,Melbourne,AU,597.23
Calgary,CA,Omaha,US,1758.22
Helena,US,Salt Lake City,US,646.56
Antananarivo,MG,Maputo,MZ,1721.7
Buenos Aires,AR,Las Vegas,US,9812.69
Singapore,SG,Jakarta,ID,892.43
Cayenne,GF,Paris,FR,7074.37
Tempe,US,Dallas,US,1416.07
Minneapolis,US,Marseille,FR,7355.1
Maputo,MZ,Amsterdam,NL,9081.62
Winnipeg,CA,Dallas,US,1898.4
Yenagoa,NG,Nairobi,KE,3466.12
Berlin,DE,Frankfurt am Main,DE,424.44
Calgary,CA,Winnipeg,CA,1205.59
Godfrey,CA,Montreal,CA,268.09
Maleny,AU,Sydney,AU,803.83
Minneapolis,US,Madrid,ES,6964.27
Miami,US,Columbus,US,1596.11
Paris,FR,New York,US,5848.62
Denver,US,Omaha,US,765.73
Santo Domingo,DO,Amsterdam,NL,7373.11
Yenagoa,NG,Johannesburg,ZA,4169.37
Valentín Alsina,AR,Buenos Aires (Ezeiza),AR,6.48
Bogotá,CO,Washington,US,3804.94
Vancouver,CA,Portland,US,414.19
Yangon,MM,Hong Kong,HK,1986.87
Tallinn,EE,Helsinki,FI,82.44
Perth,AU,Sydney,AU,3296.56
Pomborneit,AU,Sydney,AU,864.78
Sofia,BG,Amsterdam,NL,1747.05
Billings,US,Denver,US,733.83
Winnipeg,CA,Spokane,US,1506.49
Berlin,DE,Jakarta,ID,10781.1
Lusaka,ZM,Athens,GR,5930.01
Sydney,AU,Zurich,CH,16564.44
Athens,GR,Sofia,BG,524.55
New York,US,Dallas,US,2211.95
Kinshasa,CD,Lagos,NG,1782.52
General Pacheco,AR,Buenos Aires (Ezeiza),AR,26.88
Los Angeles,US,Dallas,US,2013.48
Lagos,NG,Las Vegas,US,12080.99
St Peter Port,GG,London,GB,285.13
Chicago,US,Toronto,CA,711.95
Minneapolis,US,Montreal,CA,1544.67
Bastrop,US,Kansas City,US,1031.26
Accra,GH,Tunis,TN,3620.06
Tokyo,JP,Tokyo,JP,0.0
Dushore,US,Reisterstown,US,232.43
Atlanta,US,Dallas,US,1154.33
Belgrade,RS,Belgrade,RS,0.0
New York,US,Columbus,US,773.52
Cordoba,AR,Buenos Aires (Ezeiza),AR,643.35
Chicago,US,Milan,IT,7315.21
Minneapolis,US,Prague,CZ,7378.65
Zurich,CH,Ferno (VA),IT,196.25
Cayenne,GF,Amsterdam,NL,7399.57
Sydney,AU,Sydney,AU,0.0
Los Angeles,US,Spokane,US,1507.3
Rome,IT,Brussels,BE,1173.94
Lusaka,ZM,Cape Town,ZA,2277.04
New York,US,Charleston,US,1026.72
Oslo,NO,Omaha,US,6968.96
Dallas,US,Tokyo,JP,10416.12
San Juan,PR,Bogota,CO,1747.04
Stony Creek,US,Reisterstown,US,282.99
Berlin,DE,Doha,QA,4393.08
Vancouver,CA,Toronto,CA,3363.5
São Paulo,BR,Amsterdam,NL,9781.88
Ashburn,US,Washington,US,41.74
Merriwa,AU,Sydney,AU,207.16
Doha,QA,Sofia,BG,3218.08
Cheshunt,AU,Sydney,AU,543.01
Harare,ZW,Johannesburg,ZA,977.85
Brownsville,US,Monterrey,MX,288.82
Asunción,PY,Frankfurt,DE,10592.42
Northville,US,New York,US,819.82
São Paulo,BR,Miami,US,6548.68
San José,CR,Dallas,US,2846.95
Coorabie,AU,Melbourne,AU,1348.27
Amsterdam,NL,Prague,CZ,711.76
Yenagoa,NG,Lagos,NG,361.37
Picton,AU,Sydney,AU,3278.48
Regina,CA,Denver,US,1188.51
Kigali,RW,Nairobi,KE,755.45
Sofia,BG,Frankfurt,DE,1391.04
Salt Lake City,US,Columbus,US,2448.35
Brisbane,AU,Sydney,AU,730.68
Apen,DE,Prague,CZ,574.89
Palikir,FM,Osaka,JP,3854.41
Winnipeg,CA,Moncton,CA,2431.63
Atlanta,US,Omaha,US,1320.88
Mansfield,AU,Sydney (Mascot),AU,583.55
Mogadishu,SO,Cape Town,ZA,4878.24
Dallas,US,Miami,US,1783.56
Lagos,NG,Madrid,ES,3827.92
Rapid River,US,Chicago,US,458.03
Vancouver,CA,Seattle,US,190.0
Hendersonville,US,Atlanta,US,345.1
Ashburn,US,Seattle,US,3705.47
Booroobin,AU,Sydney,AU,796.05
Palikir - National Government Center,FM,Narita,JP,3677.38
Riga,LV,Helsinki,FI,362.27
Palikir,FM,Tokyo,JP,3698.89
Ulan Bator,MN,Hong Kong,HK,2915.65
Peelhurst,AU,Sydney,AU,918.74
Funafuti,TV,Sydney,AU,4013.51
Kuala Lumpur,MY,Hong Kong,HK,2510.67
Montreal,CA,Newark,US,533.84
Bogota,CO,Bogota,CO,0.0
New York,US,Omaha,US,1858.38
Lisbon,PT,Omaha,US,7094.11
Denver,US,Dallas,US,1061.47
Santo Domingo,DO,Paris,FR,7191.09
Antananarivo,MG,London,GB,9071.56
Buenos Aires,AR,Frankfurt,DE,11462.91
Milan,IT,London,GB,960.63
Lusaka,ZM,Nairobi,KE,1822.44
Santiago,CL,Buenos Aires,AR,1139.86
Miami,US,Las Vegas,US,3519.73
Ennismore,CA,Newark,US,538.28
Yenagoa,NG,London,GB,5197.72
New York City,US,Dulles,US,352.64
Fort Liberté,HT,Miami,US,1094.56
Thomasville,US,Newark,US,745.35
Salt Lake City,US,Amsterdam,NL,8030.49
London,GB,Madrid,ES,1263.07
Calgary,CA,San Francisco Bay Area,US,1618.03
San Juan,PR,Miami,US,1671.78
Ramallah,PS,Tel Aviv,IL,44.02
Westerlo,US,New York,US,202.48
Lagos,NG,Tunis,TN,3431.6
Vienna,AT,Ljubljana,SI,278.46
Denver,US,Chicago,US,1466.22
London,GB,Prague,CZ,1036.05
Sydney,AU,Melbourne,AU,713.38
Marigot,MF,Paris,FR,6724.87
Corwen,GB,Dublin,IE,197.4
Toronto,CA,Amsterdam,NL,5991.19
Gold Coast,AU,Sydney,AU,681.75
Regina,CA,Toronto,CA,2043.49
Minneapolis,US,Minneapolis,US,0.0
Seattle,US,Milan,IT,8662.61
Perth,AU,Madrid,ES,14611.79
Port-Vila,VU,Sydney,AU,2470.63
Nairobi,KE,Charleston,US,12575.72
Bogotá,CO,Charleston,US,3177.39
San Jose,US,San Jose,US,0.0
Berlin,DE,Athens,GR,1803.1
Vilnius,LT,Helsinki,FI,611.04
Sunshine Coast,AU,Sydney,AU,819.98
Pleasant View,US,Denver,US,627.85
Kalgoorlie,AU,Melbourne,AU,2293.5
Talwood,AU,Sydney,AU,619.94
Zurich,CH,Milan,IT,217.82
Manila,PH,Manila,PH,0.0
Lima,PE,Lima,PE,0.0
Copenhagen,DK,Berlin,DE,356.08
Greer,US,St. Charles,US,853.54
Salt Lake City,US,Denver,US,610.43
Montreal,CA,Miami,US,2267.86
Beechworth,AU,Melbourne,AU,222.6
Antananarivo,MG,Stavanger,NO,9436.0
Monrovia,LR,Cape Town,ZA,5414.26
Bucharest,RO,Belgrade,RS,450.09
Winchester,US,Dulles,US,67.16
Nova Olinda do Norte,BR,Sao Paulo,BR,2555.03
Greer,US,Charlestown,US,1274.05
Abakaliki,NG,Johannesburg,ZA,4193.7
Covington,US,New York,US,924.22
Stanthorpe,AU,Sydney,AU,581.94
Mexico City,MX,Mexico City,MX,0.0
Portland,US,Newark,US,3919.97
Dallas,US,Montreal,CA,2438.16
Stony Creek,US,Dulles,US,223.88
Montreal,CA,Toronto,CA,501.12
Valletta,MT,Frankfurt,DE,1647.6
Toronto,CA,Chicago,US,711.95
Hollidaysburg,US,New York,US,379.24
Ulan Bator,MN,Osaka,JP,2783.95
Zurich,CH,Turin,IT,263.7
Punxsutawney,US,Reisterstown,US,247.08
Toamasina,MG,Antananarivo,MG,215.85
Ashburn,US,Dublin,IE,5475.25
Buenos Aires,AR,Brussels,BE,11280.53
Mexico City,MX,Chicago,US,2709.5
Port Vila,VU,Sydney,AU,2469.83
Dushore,US,Montreal,CA,498.6
Lula,US,Charlestown,US,1411.36
Monrovia,LR,Lagos,NG,1569.42
Accra,GH,London,GB,5095.24
London,GB,Seoul,KR,8880.37
Kyiv,UA,Belgrade,RS,980.56
Santo Domingo,DO,Miami,US,1336.01
Chicago,US,Jakarta,ID,15803.03
Longyearbyen,SJ,Frankfurt am Main,DE,3146.7
Sydney Olympic Park,AU,Melbourne,AU,706.04
Milan,IT,Milan,IT,0.0
Baku,AZ,Sofia,BG,2218.55
Salt Lake City,US,Frankfurt,DE,8395.16
Zurich,CH,London,GB,777.95
Sofia,BG,Sofia,BG,0.0
Los Angeles,US,Charleston,US,3554.92
New York,US,Lisbon,PT,5430.61
Mexico City,MX,Buenos Aires,AR,7372.7
Laguna,AU,Sydney,AU,97.25
Billings,US,Salt Lake City,US,620.48
Abakaliki,NG,Dallas,US,11009.97
Los Angeles,US,Omaha,US,2117.63
Madrid,ES,London,GB,1263.07
London,GB,London,GB,0.0
San Jose,US,Los Angeles,US,471.12
Valletta,MT,Stockholm,SE,2617.59
Seattle,US,Chicago,US,2793.2
Chicago,US,London,GB,6377.21
Tbilisi,GE,Omaha,US,10007.53
Kuala Lumpur,MY,Los Angeles,US,14130.3
Lusaka,ZM,Hamburg,DE,7838.5
Miami,US,Stockholm,SE,8026.39
Kawartha Lakes,CA,Toronto,CA,84.05
Mexico City,MX,Omaha,US,2437.73
Kuala Lumpur,MY,Mumbai,IN,3595.83
Christchurch,NZ,Wellington,NZ,305.09
Antananarivo,MG,Sydney,AU,10055.96
Ashburn,US,Columbus,US,485.94
Seattle,US,Dallas,US,2707.14
Sanaa,YE,Doha,QA,1339.39
Tbilisi,GE,Tel Aviv,IL,1390.7
Wilton,AU,Sydney,AU,62.08
Saipan,MP,Narita,JP,2344.46
Port Lincoln,AU,Sydney,AU,1414.2
Gaborone,BW,Johannesburg,ZA,274.95
Morgan,US,Denver,US,971.08
Hervey Bay,AU,Melbourne,AU,1575.7
Fortaleza,BR,Florianopolis,BR,2847.87
New York,US,Sydney,AU,15995.4
Woodend,AU,Sydney,AU,716.96
Seattle,US,New York,US,3881.86
Apia,WS,Auckland,NZ,2881.2
Riga,LV,Stockholm,SE,443.99
Lagos,NG,Sofia,BG,4468.68
Basse-Terre,GP,Bogota,CO,1841.1
Old Morago,AU,Sydney,AU,620.9
Atlanta,US,Tokyo,JP,11054.51
Tokyo,JP,Chicago,US,10159.5
Los Angeles,US,Mexico City,MX,2505.5
Trenton,CA,Toronto,CA,149.83
Lara,AU,Sydney (Mascot),AU,765.97
Pečeňany,SK,Prague,CZ,317.85
Helena,US,Lagos,NG,11373.9
Rensselaerville,US,New York,US,203.13
Bogotá,CO,Los Angeles,US,5614.66
Accra,GH,New Delhi,IN,8492.8
Los Angeles,US,Seattle,US,1535.37
Shelbourne,AU,Sydney,AU,727.83
Nicosia,CY,Sofia,BG,1205.09
Bratislava,SK,Ljubljana,SI,305.44
Grose Wold,AU,Sydney (Mascot),AU,57.57
New Bethlehem,US,New York,US,457.13
Paris,CA,Toronto,CA,101.49
Kuala Lumpur,MY,New Delhi,IN,3828.71
Kurrajong Heights,AU,Sydney,AU,65.35
Salt Lake City,US,Dublin,IE,7392.88
Ashburn,US,Macomb,US,1142.28
Calgary,CA,Miami,US,4011.79
Belleville,CA,Toronto,CA,166.56
Auckland,NZ,Auckland,NZ,0.0
Mbabane,SZ,Johannesburg,ZA,308.69
Lakefield,CA,Montreal,CA,60.48
Port-au-Prince,HT,Miami,US,1140.49
Bogotá,CO,Omaha,US,4608.75
Thimphu,BT,New Delhi,IN,1227.84
Limerick,AU,Melbourne,AU,570.74
Melbourne,AU,Jakarta,ID,5206.26
Helsinki,FI,Helsinki,FI,0.0
Cobden,AU,Sydney,AU,882.63
Rockleigh,AU,Sydney,AU,1118.53
Tokyo,JP,Seoul,KR,1159.8
Nairobi,KE,Johannesburg,ZA,2912.98
Antananarivo,MG,Antananarivo,MG,0.0
Moulamein,AU,Melbourne,AU,313.62
Nairobi,KE,Stavanger,NO,7215.91
Greer,US,Columbus,US,564.79
Muscat,OM,Doha,QA,739.21
Eyota,US,Chicago,US,441.15
Buenos Aires,AR,Florianopolis,BR,1216.76
Maysville,US,Atlanta,US,544.76
Lakehurst,CA,Toronto,CA,115.71
Lisbon,PT,Brussels,BE,1714.14
Madrid,ES,Athens,GR,2375.27
Innot Hot Springs,AU,Sydney,AU,1874.77
Milan,IT,Ferno (VA),IT,37.64
Berlin,DE,Washington,US,6726.85
Lusaka,ZM,Maputo,MZ,1245.14
Colombo,LK,Chennai,IN,683.71
Vancouver,CA,Paris,FR,7946.62
Bandele,YT,Johannesburg,ZA,2323.7
Jasper,US,Atlanta,US,561.58
Narrabri,AU,Sydney,AU,416.24
Helsinki,FI,Berlin,DE,1107.79
Seattle,US,Miami,US,4397.4
Paris,FR,Dublin,IE,782.48
Miami,US,Charleston,US,779.88
Antananarivo,MG,Toronto,CA,14386.97
Komoka,CA,Toronto,CA,188.93
North Canton,US,Reisterstown,US,420.96
Perth,AU,San Francisco Bay Area,US,14740.35
Clymer,US,Newark,US,478.64
Kasama,ZM,Doha,QA,4505.21
Corrigin,AU,Sydney,AU,3101.79
Dallas,US,London,GB,7655.53
San Jose,US,Dallas,US,2334.92
Seattle,US,Tel Aviv,IL,10885.79
Berlin,DE,Lagos,NG,5189.07
Enosburg Falls,US,Newark,US,477.85
Halifax,CA,Toronto,CA,1263.74
Maputo,MZ,New York,US,13182.43
Sofia,BG,Helsinki,FI,1947.04
Los Angeles,US,Portland,US,1318.79
Nairobi,KE,Omaha,US,13546.51
Antananarivo,MG,Brussels,BE,8803.57
Maputo,MZ,Cape Town,ZA,1627.14
Barre,US,New York,US,406.32
Melbourne,AU,Melbourne,AU,0.0
Zagreb,HR,Ljubljana,SI,117.13
Marigot,MF,Miami,US,1962.05
Waynesville,US,Atlanta,US,231.36
Singapore,SG,Singapore,SG,0.0
Helena,US,Calgary,CA,517.5
Halifax,CA,Miami,US,2571.46
Bucharest,RO,Podgorica,ME,596.16
New York,US,Tokyo,JP,10875.78
Lagos,NG,Singapore,SG,11153.95
Atlantic Mine,US,Omaha,US,878.31
Rome,IT,Marseille,FR,604.02
Tempe,US,Salt Lake City,US,820.08
Basse-Terre,GP,Marseille,FR,6957.27
São Paulo,BR,Chicago,US,8383.19
Sydney,AU,Dublin,IE,17207.62
Dili,TL,Omaha,US,14553.57
Manila,PH,Winnipeg,CA,11950.16
Freetown,SL,Frankfurt am Main,DE,5041.81
London,GB,Seattle,US,7721.06
Dublin,IE,Amsterdam,NL,758.26
Phoenix,US,New York,US,3453.33
Sydney,AU,Amsterdam,NL,16637.32
Nicosia,CY,Berlin,DE,2490.81
Sydney,AU,Sydney (Mascot),AU,0.78
São Paulo,BR,Doha,QA,11871.44
Victoria,CA,Toronto,CA,3394.21
Dallas,US,Milan,IT,8587.74
Ashburn,US,Los Angeles,US,3673.24
Mumbai,IN,Mumbai,IN,0.0
Buenos Aires,AR,Miami,US,7069.39
Berlin,DE,Belgrade,RS,1000.61
Nairobi,KE,Amsterdam,NL,6654.59
Lagos,NG,London,GB,5005.24
Los Angeles,US,Toronto,CA,3512.84
Madrid,ES,Omaha,US,7375.63
Melbourne,AU,Sydney (Mascot),AU,713.79
Millville,US,New York,US,174.02
New York,US,Osaka,JP,11131.75
Bobcaygeon,CA,Toronto,CA,110.51
Quinte West,CA,Toronto,CA,153.07
Leeper,US,New York,US,458.48
Buenos Aires,AR,Mexico City,MX,7372.7
Lusaka,ZM,Johannesburg,ZA,1194.64
Seattle,US,Washington,US,3746.46
Calgary,CA,Osaka,JP,8337.34
Brainard,US,Denver,US,1636.47
Fortaleza,BR,Bogota,CO,4061.72
London,GB,Montreal,CA,5235.41
London,GB,Paris,FR,343.88
Nuku'alofa,TO,Auckland,NZ,1994.41
Ararat,AU,Melbourne,AU,190.19
Calgary,CA,Milan,IT,8005.28
Trent Lakes,CA,Newark,US,559.17
Accra,GH,Tel Aviv,IL,4675.06
Charlevoix,US,Omaha,US,983.95
Toronto,CA,Stockholm,SE,6338.47
Christchurch,NZ,Christchurch,NZ,0.0
Corrigin,AU,Melbourne,AU,2534.48
Johannesburg,ZA,Johannesburg,ZA,0.0
Grafton,US,Newark,US,265.29
Rome,IT,Amsterdam,NL,1297.87
Tempe,US,Omaha,US,1652.64
Minneapolis,US,San Francisco Bay Area,US,2551.96
Rochester,US,Chicago,US,840.29
Curwensville,US,New York,US,389.21
Jerusalem,IL,Athens,GR,1254.92
Helena,US,Seattle,US,789.75
Gustavia,BL,Bogota,CO,1902.95
Frankford,CA,Newark,US,477.85
Kawartha Lakes,CA,Montreal,CA,429.26
Amsterdam,NL,Brussels,BE,173.88
Paris,FR,Barcelona,ES,830.66
Clintonvale,AU,Sydney (Mascot),AU,645.91
Abakaliki,NG,Brussels,BE,4947.99
Paris,FR,Hong Kong,HK,9646.86
Pine Mountain Club,US,Los Angeles,US,106.44
Kyiv,UA,Hamburg,DE,1445.54
Yenagoa,NG,Zurich,CH,4709.14
Melbourne,AU,Perth,AU,2726.71
East Barre,US,Newark,US,406.85
The Plains,US,Dulles,US,30.6
Atlanta,US,Charleston,US,427.83
Asunción,PY,Sao Paulo,BR,1131.67
Dallas,US,Stavanger,NO,7607.94
Seattle,US,Prague,CZ,8411.76
Leongatha,AU,Sydney,AU,696.2
Santiago,CL,Paris,FR,11625.85
Prague,CZ,Sofia,BG,1067.73
Pomborneit,AU,Melbourne,AU,156.05
Khartoum,SD,Tel Aviv,IL,1839.83
Wilberforce,AU,Melbourne,AU,712.2
Lusaka,ZM,Berlin,DE,7661.86
Atlanta,US,Charlestown,US,1509.64
Williamsport,US,New York,US,268.87
Los Angeles,US,Salt Lake City,US,934.96
Portland,US,Seattle,US,233.0
Los Angeles,US,Montreal,CA,3984.78
Berlin,DE,Miami,US,8009.87
New York,US,Doha,QA,10788.71
San Jose,CR,Bogota,CO,1246.45
Sydney,AU,Los Angeles,US,12053.85
Lagos,NG,Cape Town,ZA,4742.15
Dublin,IE,Dublin,IE,0.0
Saint-Denis,RE,Johannesburg,ZA,2853.73
Madrid,ES,Tunis,TN,1272.39
Seattle,US,Frankfurt,DE,8202.66
Tempe,US,Miami,US,3173.07
Fortaleza,BR,Frankfurt,DE,7478.43
Berlin,DE,Frankfurt,DE,424.44
Madrid,ES,Berlin,DE,1871.4
Stewartstown,US,Macomb,US,1642.05
Inverell,AU,Sydney,AU,454.69
Salt Lake City,US,Montreal,CA,3134.67
Cobourg,CA,Toronto,CA,100.18
Fenelon Falls,CA,Toronto,CA,102.02
Seaforth,AU,Sydney,AU,9.29
Kuala Lumpur,MY,London,GB,10549.13
Regina,CA,Vancouver,CA,1333.18
Port-au-Prince,HT,Paris,FR,7365.26
Kasama,ZM,Berlin,DE,7155.09
Murwillumbah,AU,Sydney (Mascot),AU,648.95
Winnipeg,CA,Winnipeg,CA,0.0
Kyneton,AU,Sydney,AU,717.1
Milan,IT,Ljubljana,SI,418.57
San José,CR,Bogota,CO,1246.41
Toronto,CA,Prague,CZ,6693.3
Denver,US,Los Angeles,US,1356.54
Madrid,ES,Amsterdam,NL,1481.94
Basse-Terre,GP,Paris,FR,6790.95
Cuddebackville,US,New York,US,102.61
Manila,PH,Frankfurt,DE,10289.05
Kyogle,AU,Melbourne,AU,1247.85
New York,US,Newark,US,21.19
Minneapolis,US,Dallas,US,1384.36
Sofia,BG,Zurich,CH,1272.7
Paramaribo,SR,Bogota,CO,2095.24
Orsay,FR,Brussels,BE,285.22
Los Angeles,US,Tokyo,JP,8814.18
Yenagoa,NG,Dallas,US,10928.48
Berlin,DE,Prague,CZ,279.75
Tokyo,JP,Manila,PH,2994.83
Vancouver,CA,Osaka,JP,7916.79
Seoul,KR,Tokyo,JP,1159.8
Brussels,BE,Frankfurt,DE,318.0
Nicosia,CY,Hamburg,DE,2738.6
Vancouver,CA,San Francisco Bay Area,US,1278.16
